Partner_Description,Hiscox_COB,full_industry_code
"Glass Distributor – Window, Plate & Mirror",OOA,0
"Glassware, Ceramics, Pottery & China Distributor",OOA,0
Golf Cart Dealer,OOA,0
Gourmet & Specialty Food Shop,Gourmet Food Stores,44529900_11101100_00000006
Grading of Land,Land grading services,23891000_37301900_00000000
Grain and Field Bean Merchant Wholesalers,OOA,0
Grant Coordinator,OOA,0
Grantmaking and Giving Services,OOA,0
Graphic Designer,Graphic design,54143000_27102400_00000000
Greenhouse,OOA,0
Grocery Distributor,OOA,0
Grocery Store,"Grocery Stores < 15,000 sq ft",44511000_11101100_00000000
Group Homes,OOA,0
Guided Tours,OOA,0
Gutter Cleaning,Gutter & downspout work,23817000_47221100_00000000
Gym / Physical Fitness Center,OOA,0
Hair and Beauty Salons,Beautician/cosmetology services,81211200_39501200_00000000
Handicap Vehicle Modification,OOA,0
Handicrafts – excluding manufacturing / distribution of candles made by individuals,Artists,71151000_27101000_00000000
Handwriting / Document Analysis,Expert witness services,54119900_19409200_00000000
Handyman,Handyperson (no roof work),23839000_49907100_01000000
Hardware & Tool Distributor,OOA,0
Hardware or Home Improvement Store,Hardware Store,44413000_11101100_00000000
"Harvesting, Crop",OOA,0
Health and Beauty Products Store,"Cosmetic, Beauty Supply & Perfume Stores",44612000_11101100_00000000
Health Care Centers (Non Profit),OOA,0
Health Education,OOA,0
Heating & Air Conditioning Distributor,OOA,0
Heating & Air Conditioning Installation,Heating and air conditioning installation and repair (no liquefied petroleum gas (LPG)),23822000_49902100_02000000
"Heavy Truck (over 26,000 GWV)",OOA,0
"Heavy Truck (under 26,000 GWV) Dealer",OOA,0
"Highway, Street and Bridge Construction",OOA,0
Historical Sites,OOA,0
Historical Societies,Civic non profit,81391000_11203300_02000000
"Hobby & Model Supplies, excluding explosives & propellants",Hobby Supply Stores,45399800_11101100_00000005
Home Health (Medical),OOA,0
Home Health Aide / Caregiver (Non-Medical),Home health aide,62161000_31112100_01000000
Home Inspection,OOA,0
Horses and other Equine Production,OOA,0
Horticulturalist,OOA,0
Hospices / Caregivers / Home Companions,Home health aide,62161000_31112100_01000000
Hospital,OOA,0
Hosting Sellers,IT project management,54169000_15119900_00000000
Hotels and Motels,OOA,0
Hotels and Motels - with Limited Cooking Restaurant,OOA,0
Hotels and Motels - with pools or beaches,OOA,0
Hotels and Motels - without pools or beaches,OOA,0
House Cleaning,Janitorial/cleaning services,56172000_37201100_01000000
House Furnishings,Home furnishing stores,44229900_11101100_00000007
House Furnishings Installation,Furniture and fixture installation,23839000_49909900_01000000
Household Appliances Distributor,OOA,0
"Household Products (Amway. Fuller Brush, etc)",OOA,0
"Housewares, Home Décor, Window Treatments or Art Store",Home furnishing stores,44229900_11101100_00000007
Human Resources Consulting,Human Resources (HR) consulting,54161200_11312100_00000000
Hunter,OOA,0
HVAC and Refrigeration,Heating and air conditioning installation and repair (no liquefied petroleum gas (LPG)),23822000_49902100_02000000
Hypnotherapist,Hypnosis,62133000_19303900_01000000
Ice Cream Shop,Ice Cream Shops,72251500_11101100_07000000
Ice Cream Truck,Ice cream truck operator,72233000_11101100_06000000
Ice Dealer & Distributor,OOA,0
Individual Musicians – Excluding Bands,OOA,71151000_27101000_00000000
Industrial Laundries,OOA,0
Industrial Supplies Merchant Wholesalers,OOA,0
Information Search Retrieval,IT consulting,54169000_15129900_00000000
Inland Water Transportation,OOA,0
Insulation Work - Organic,Insulation installation,23817000_17610000_00000000
Insulation Work – Plastic,Insulation installation,23817000_17610000_00000000
Insurance Funds,OOA,0
Insurance Inspector,Insurance inspector,52429800_13103100_02000000
Interior Decorator,Interior decorator,54141000_27102500_01000100
Interior Design,Interior design,54141000_27102500_02000100
Internet Search / Index Tools Provider,IT project management,54169000_15119900_00000000
Inventory Control Specialist,Strategy consultant,54161100_13111100_07000000
Investment Company,OOA,0
IT Consulting & Project Management,IT project management,54169000_15119900_00000000
IT Staffing (Staffing other than IT is ineligible),Information Technology Staffing,56132000_15129900_00000000
IT Training,IT software/hardware training services,61142000_13115100_00000000
Janitorial Services (Commercial),Janitorial/cleaning services,56172000_37201100_01000000
Janitorial Services (Residential),Janitorial/cleaning services,56172000_37201100_01000000
Janitorial Supply Distributor,OOA,0
Jet Skis Dealer,OOA,0
Jewelry Distributor,OOA,0
Jewelry Store,Jewelry Stores,44831000_11101100_00000002
Juice Bar,Juice bars,72251500_11101100_08000000
Junior Colleges,OOA,0
"Justice, Public Order and Safety Activities",OOA,0
Kennels – Pet Boarding,Kennels (Boarding),81291000_39202000_01000000
Kitchen Accessories Distributor,OOA,0
Kitchen Accessories Store,Kitchen Accessories Stores,44229900_11101100_00000008
Kitchen Exhaust Hood Cleaning,HVAC contractor,23822000_49902100_03000000
Lamps & Lighting Fixtures,OOA,0
Lamps & Lighting Fixtures Distributor,OOA,0
Lamps & Lighting Fixtures Store,Lamps & Lighting Fixtures Stores,44229900_11101100_00000010
Landscape Architect,Landscape architect,54132000_17101200_00000000
Landscape Design & Installation,Landscaping/gardening services,56173000_37301100_01000000
Language Learning Center,Learning center,61169100_25304100_01000000
Language Learning Center (Franchise),Learning center,61169100_25304100_01000000
Laser Eye Surgery Center,OOA,0
Laundry & Dry Cleaning – Pick-up Station,OOA,0
Laundry & Dry Cleaning – Self Service / Coin Operated,OOA,0
Laundry & Dry Cleaning – Stores & Plants,OOA,0
Lawn Care,Lawn care services,56173000_37301100_02000000
